discourse_text,discourse_type
"Conversely people may believe that laws in present need to change, becoming less restrictive. People have the right to communicate with whom they wish, when or wherever they may choose to do so.",Counterclaim
While it is dangerous to be interacting with your phone while driving some people have no choice in the matter.,Counterclaim
Many people may say that teens are the ones driving irresponsibly by using their phones when operating a vehicle.,Counterclaim
Some people will argue that the usage of any phones can start any car accident. ,Counterclaim
"Even if your rates don't go up after an accident,",Counterclaim
"Society has become more connected to cell phones more than ever. Cell phones provide a lot of convenience. From communicating with relatives and friends, checking emails, paying bills, taking pictures, recording videos, listening to music; you name it! ",Counterclaim
" Despite of a danger, people still use cell phones because they want to be always available and keep in touch with other people. Also, they think that hand-free set is safe because they can drive using two hands. ",Counterclaim
There are also good reasons why you should be able to have your phone while driving. For example when going to a place and not knowing the directions your phone has a built in navigation system to help you get there. ,Counterclaim
"Another good reason to have your phone while driving is because what if there is an emergency and that is the only way someone can contact you,",Counterclaim
There are those who argue that phones should be allowed while driving.,Counterclaim
My opponents may argue that a hands-free set is safe because people can drive using two hands ,Counterclaim
Handheld cell phones can only be used if there is an emergency.,Counterclaim
"They've made many alternatives to not having to touch your phone while driving but still being able to operate it. We all have a virtual human on our phones who tells us directions or calls who we want based on us saying things like, ""Hey Siri."" They make phone holders for your dash,",Counterclaim
But get in some accidents or cause accidents with cars and we get hurt because of these accidents physically and financially,Counterclaim
"Despite of the danger, people still use cell phones because they want to be always available and keep in touch with other people. Also, they think that handsfree set is safe because they can drive using two hands ",Counterclaim
Opponents whose work depends on a cell phone like lawyers or businessmen say that they always have to be available to answer the phone to keep their business running. ,Counterclaim
"Although it tends to be distracting,",Counterclaim
"Texting while driving is a really problematic situation when it comes to acquiring a vehicle. It will lead you to bad injuries, or even death. ",Counterclaim
"To say that there is a time devices should be used, maybe should be only for gps for navigation.",Counterclaim
"In a nutshell, despite the laws forbidding texting while driving, many people still feel as if they have the right to text & drive.",Counterclaim
On the other hand using devices while you drive if it's your job is acceptable. Driving people around such as Uber and Lyft is an exception because you have to be on your phone for directions. Being a business owner or a lawyer is very difficult because you have to able to answer your phone. ,Counterclaim
"While some may say they need it for if their family is having an emergency and they had to make a quick phone call,",Counterclaim
"In most cases, people think that they can keep their eyes on the road while operating their cell phone at the same time.",Counterclaim
"Sure a cell phone can be a good tool to use for navigational purposes, or a cell phone is great to have in the event of an emergency. The cell phone can help the driver get help quicker than they could in the past because they have instant access to a communication device. The cell phone gives its owner instant access to the Police, EMS, and Fire with the push of a couple of buttons ",Counterclaim
Most may use it for gps,Counterclaim
"On the other hand people justify the usage of phones while driving a vehicle as an emergency that they can't miss. Sometimes you run into those calls or texts that you just cant miss. Understanding that yes, life does get in the way and some things need urgent reactions. ",Counterclaim
" some may say that hands-free activities are not safe. Hands-free still drags away the attention from a driver on the road ""Distracted Driving"".",Counterclaim
Opponents whose work depends on a cell phone like lawyers or businessmen say that they always have to be available to answer the phone to keep their business running. ,Counterclaim
Opponents say that a hands-free set is safe because people can drive using two hands. ,Counterclaim
Opponents say that cell phones are good because they give an opportunity to make a call in case of emergency ,Counterclaim
"but as tested on ""MythBusters"" changes a little but still distracts you in some sort of way people also know there way around things already and sometimes work or no most of the times it works but some of the times it doesn't",Counterclaim
Other counter arguments might say but what I just need to do one little thing for work or school. ,Counterclaim
Some of the reasons why people think its a good thing is because they feel the need to be communicated with the world just in case something bad happens or basically if something bad happens on their way and feels the need to communicate it with someone or has an emergency.,Counterclaim
"However, a solution to the problem would be to mandate that all drives must use ""hands free"" mode via Bluetooth or you will be in violation of the law and can get a traffic ticket if seen using your hands. ",Counterclaim
"However, there are times that drivers use their hands to see the maps, therefore resulting in a traffic accidents.",Counterclaim
"However, movies have most likely caused traffic accidents because the driver looks up and down at the screen losing concentration while driving. ",Counterclaim
Most people pick up the phone because they say it's important ,Counterclaim
"Others may say that people need their phones to contact people for work or children may have to contact their parents while at home, ",Counterclaim
"Even though the statistics cause concern advocates for public safety feel that cell phone use while driving can be lifesaving for onsite emergencies, roadside assistance, and even responding to Amber Alerts. ",Counterclaim
Some people may think its okay to text and drive ,Counterclaim
It may not seem like a big deal,Counterclaim
"Despite a danger, people still use cell phones because they want to be always available and keep in touch with other people. Also, they think that hands-free set is safe because they can drive using two hands. Moreover, they use arguments that cell phones are necessary for emergency situations ",Counterclaim
So now Gwinnett County made a law so that drives can't use their phone to prevent death rate from increasing in the county. With today's technology cars will now allow you to call people through the car's bluetooth settings. And if we need a gps we can also input on the cars gps. ,Counterclaim
People may argue that using a cellphone while driving is dangerous ,Counterclaim
"Yes, it is true that we can replace our phone's GPS with a GPS device, ",Counterclaim
Even if you try to make it easier ,Counterclaim
There is one case in which your life can be saved when texting and driving. There is a law called the hands free law. ,Counterclaim
"For people to use their phone less there was a bluetooth, a hands free thing and air play which all 3 limit the use of the phone where you can just talk.",Counterclaim
"I know people are going to say, ""I'm letting my friend know I am on the way ",Counterclaim
 Even with this information drivers still choose to use there phone behind the wheel. ,Counterclaim
"Most teens use airpods made by Apple inc, instead of holding the phone in there hand. ",Counterclaim
"Cell Phones provide communication with convenience, but they also have many other perks including cameras,games, etc. Cell phones can have many different uses, all of which can be very useful ",Counterclaim
