discourse_text,discourse_type
"The problem becomes apparent that this is a selfish process of thought; people aren't thinking of those they share the road with. Laws currently in place are not to punish people making poor choices, they are an attempt to keep people safe. ",Rebuttal
"In reality, everyone from every age is irresponsibly driving. ",Rebuttal
"While that is true, it is highly unlikely and implausible",Rebuttal
you could lose your good drivers discount. ,Rebuttal
"However, talking or texting on cell phones while driving simply don't mix and has become a huge issue in the past few years.
",Rebuttal
There is always a solution to everything like having a car holder and putting gps rather than calling someone. ,Rebuttal
"However, hands-free technology doesn't eliminate the risk of causing an accident and it may make it worse. Research show that using headphones can be as dangerous as holding a phone because conversations distract drivers from focusing on the road. ",Rebuttal
"In today's society we've all become attached to our cell phones. it does not matter how good you are at multitasking, it should be banned and against the law. ",Rebuttal
but that's sill dangerous because you shouldn't take your eyes off the road anytime the vehicle is in motion.,Rebuttal
but they can be avoided taking precautions like insurance and driving safe and keep your car maintenance high or good,Rebuttal
"Although some people support using cell phones while driving, there is evidence that they are dangerous and people should avoid talking while driving. ",Rebuttal
"However, because of their habits, they can create dangerous and hazardous situations like a collision or an accident ",Rebuttal
technology has advanced that we can have our eyes on the road while communicating with others. ,Rebuttal
"But if a driver uses these ideas and guideline while driving, phones would not be a controversial topic that it is now. ",Rebuttal
 Other than that Devices in a hand of a driver should be prohibited and forced to drive safely to their desired destination harm free. ,Rebuttal
"However, I feel everyone has the responsibility to put the phone down and keep your eyes on the road and drive safely.",Rebuttal
"you should still need to think about others and your surroundings and not just yourself.
",Rebuttal
" In contrast, drivers who allow themselves to get distracted by their cell phones increase their chances of getting into an accident, as well as putting themselves and many others life's at risk. ",Rebuttal
"A cell phone can be a great tool, but it can also be a deadly one. Cell phone use should only be conducted hands free while a person is operating a vehicle in order to cut down on the distraction it can cause. ",Rebuttal
"but that is something that can be used before you start your car, and it can be put on speaker so you can hear the directions.",Rebuttal
"You can just as quickly stop on the side of the road to not only be safer while checking the emergency, but also giving your full attention to the matter rather than half and half.",Rebuttal
"However, because of their habits, they can create dangerous and hazardous situations like a collision or an accident.",Rebuttal
"However, hands-free devices don't eliminate the risk of causing an accident and even may it worsen by suggesting that the behavior is safe.",Rebuttal
"However, it is an illusion of safety because when people need it the most either they can't find it or reach it because they are stuck in a car.",Rebuttal
"Myself a guilty procrastinator (this is why I am making up this class) understand this argument but just be late for work or school and do it at home. Think about it what's worse killing someone by not paying attention or being late for work/school.
",Rebuttal
"A solution to this issue would be to require all drivers to use the ""hands free"" mode while using navigation systems.
",Rebuttal
"A solution to this problem would be that the driver can only listen to music while driving and only the passengers can watch movies while the driver is driving, which are all ""hands free"" solutions. ",Rebuttal
but even then the phone would be a distraction ,Rebuttal
"but people need to understand that earphones exist now that help you answer your phone that having it in your hand and of course texting can always wait, if its so important why not pull over instead or just a simple phone call.",Rebuttal
"Both sides have valid arguments that have increased major phone carriers and company's like Apple Inc. have creating phone features such as voice activated Hands-free Calling, Do Not Disturb, and Disable While Driving to help minimize the possibility of anything cell-phone related occurring, ",Rebuttal
" But , in reality its not . For example, you are driving and texting on your phone you soon look up and boom you crash . As you crash you hurt yourself the people in the car and the people out the car . To prevent this do not text and drive . ",Rebuttal
but in the real life it is. ,Rebuttal
"Although some people support using cell phones while driving, there is evidence that they are dangerous and people should avoid talking while driving.
",Rebuttal
Even though you can do all of this stuff now you still need to watch where you're going and the speed limit so you don't risk other people's lives because of how fast your driving,Rebuttal
"but any technology, if used wrong, can be deadly to not only ourselves, but lives around us.",Rebuttal
"but again, if the driver is not misusing cellphones, it is essentially getting the same job done. ",Rebuttal
in my opinion there is no way that it can be safe. ,Rebuttal
Texting and driving could either be paid with your life or a ticket.,Rebuttal
It still is not safe but it is not as bad as using your actual phone.,Rebuttal
 Didn't you just call your friend to let them know you are on the way before you left the house? I feel that laws are made for a reason and they should not be broken by anyone. If no one is following the law than why do we have a law? ,Rebuttal
This is even more dangerous because you can't hear your surroundings. ,Rebuttal
"but at the right time. There are multiple ways in which a driver can be distracted while driving. They include talking to passengers, lighting up a cigarette and smoking,eating and drinking, etc.",Rebuttal
and that's where advanced technology takes place. ,Rebuttal
" I any case, without hands gadgets don't wipe out the danger of causing an accident and even make it worse by recommending that the conduct is protected. ",Rebuttal
 Maps are confusing for some people.,Rebuttal
"This is where the campaign ""It can wait"" comes in and other programs to promote wireless usage (ex. Bluetooth). Thus, ceasing any hands-on phone activity while operating the vehicle. Bluetooth wireless makes things more convenient for vehicle users. Calls, music listening, and more can be accessed using Bluetooth. ",Rebuttal
 we must be able to articulate when and where to use them. ,Rebuttal
This is negligent of the fact that a quick glance at their phone could be all it takes to get into an accident.,Rebuttal
"The safest thing to do would be to utilize what most cars come with, the ability to call someone without using your phone directly. In that case, instead of being texted, you could call, or be called. If you're on a phone call, you can still keep your eyes on the road, and there's less of a danger.
",Rebuttal
" research provides contradictory results. A study on the cognitive effects of talking on cellphones concluded that while participants often crashed while chatting, drunk drivers had reduced likelihood of a crash (Lipovac et al. 136). ",Rebuttal
one cannot deny that it is a potential hazard.,Rebuttal
This shows that many people are ignorant to the impact they have on their selves and others when they use their phones while driving ,Rebuttal
Tax-paying civilians are suffering because authorities do not hold offenders accountable for dangerous driving habits ,Rebuttal
otherwise put phones down you are taking other people's life for an electronic the phone isn't going nowhere but your life can.,Rebuttal
" Is it worth it because bad things happen everyday even if we don't want them too. Also , you can pull a ride with anyone and if there on the phone and you feel unsafe let them know that but if your scared you risking everything cause you never know what's gonna happen",Rebuttal
 I believe you shouldn't be on it period! ,Rebuttal
"However, it is illusion of safety because when people need it the most either they can't find it or reach it because they are stuck in car. People shouldn't fully depend on cell phones because they are not reliable,
",Rebuttal
"but not by phones anymore, but we really can't do that cause some people aren't going to give up their phones while driving.",Rebuttal
"However, because of their habits, they can create dangerous and hazardous situations like a collision or an accident",Rebuttal
"However, hands-free devices don't eliminate the risk of causing an accident and even may it worsen by suggesting that the behavior is safe.",Rebuttal
"However, it is illusion of safety because when people need it the most either they can't find it or reach it because they are stuck in car.",Rebuttal
"However, because of their habits, they can create dangerous and hazardous situations like a collision or an accident.",Rebuttal
"However, hands-free devices don't eliminate the risk of causing an accident and even may it worsen by suggesting that the behavior is safe",Rebuttal
"However, it is illusion of safety because when people need it the most either they can't find it or reach it because they are stuck in car.",Rebuttal
but air bags don't guarantee safety.,Rebuttal
"However, 34% of teens aged sixteen to seventeen spend about 10% of their driving time outside of their lane. This affects other people who are driving and can cause the deaths of innocent lives.",Rebuttal
"There really isn't a valid argument to why people should be able to use their phone on the road, because in every scenario its dangerous to them, and the others on the round around them. ",Rebuttal
